Title,Description,Year,Genre ,Rate,Duration
Another Round,Four high school teachers launch a drinking experiment: upholding a constant low level of intoxication.,2020,"Comedy, Drama",7.8,1h 57m
Raya and the Last Dragon,"Long ago, in the fantasy world of Kumandra, humans and dragons lived together in harmony. But when an evil force threatened the land, the dragons sacrificed themselves to save humanity. Now, 500 years later, that same evil has returned and it’s up to a lone warrior, Raya, to track down the legendary last dragon to restore the fractured land and its divided people.",2021,"Animation, Adventure, Fantasy, Family, Action",8.4,1h 47m
Godzilla vs. Kong,"In a time when monsters walk the Earth, humanity’s fight for its future sets Godzilla and Kong on a collision course that will see the two most powerful forces of nature on the planet collide in a spectacular battle for the ages.",2021,"Action, Science Fiction",7.5,1h 53m
Tom & Jerry,"Tom the cat and Jerry the mouse get kicked out of their home and relocate to a fancy New York hotel, where a scrappy employee named Kayla will lose her job if she can’t evict Jerry before a high-class wedding at the hotel. Her solution? Hiring Tom to get rid of the pesky mouse.",2021,"Action, Comedy, Family, Animation",7.4,1h 41m
Monster Hunter,"A portal transports Cpt. Artemis and an elite unit of soldiers to a strange world where powerful monsters rule with deadly ferocity. Faced with relentless danger, the team encounters a mysterious hunter who may be their only hope to find a way home.",2020,"Fantasy, Action, Adventure",7.2,1h 44m
The Croods: A New Age,"Searching for a safer habitat, the prehistoric Crood family discovers an idyllic, walled-in paradise that meets all of its needs. Unfortunately, they must also learn to live with the Bettermans -- a family that's a couple of steps above the Croods on the evolutionary ladder. As tensions between the new neighbors start to rise, a new threat soon propels both clans on an epic adventure that forces them to embrace their differences, draw strength from one another, and survive together.",2020,"Family, Fantasy, Animation, Comedy",7.5,1h 35m
Nomadland,"A woman in her sixties embarks on a journey through the western United States after losing everything in the Great Recession, living as a van-dwelling modern-day nomad.",2020,"Drama, Western",7.5,1h 48m
Chaos Walking,"Two unlikely companions embark on a perilous adventure through the badlands of an unexplored planet as they try to escape a dangerous and disorienting reality, where all inner thoughts are seen and heard by everyone.",2021,"Science Fiction, Action, Adventure, Thriller",7.3,1h 49m
The Marksman,"Jim Hanson’s quiet life is suddenly disturbed by two people crossing the US/Mexico border – a woman and her young son – desperate to flee a Mexican cartel. After a shootout leaves the mother dead, Jim becomes the boy’s reluctant defender. He embraces his role as Miguel’s protector and will stop at nothing to get him to safety, as they go on the run from the relentless assassins.",2021,"Action, Thriller, Crime",6.2,1h 48m
The Seventh Day,"A renowned exorcist teams up with a rookie priest for his first day of training. As they plunge deeper into hell on earth, the lines between good and evil blur, and their own demons emerge.",2021,Horror,4.3,1h 27m
Nobody,"Hutch Mansell, a suburban dad, overlooked husband, nothing neighbor — a ""nobody."" When two thieves break into his home one night, Hutch's unknown long-simmering rage is ignited and propels him on a brutal path that will uncover dark secrets he fought to leave behind.",2021,"Action, Thriller, Crime",8.1,1h 32m
Promising Young Woman,A young woman haunted by a tragedy in her past takes revenge on the predatory men unlucky enough to cross her path.,2020,"Thriller, Crime, Drama
",7.6,1h 53m
The Father,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",2020,Drama,7.6,1h 37m
The Vault,"When an engineer learns of a mysterious, impenetrable fortress hidden under The Bank of Spain, he joins a crew of master thieves who plan to steal the legendary lost treasure locked inside while the whole country is distracted by Spain's World Cup Final. With thousands of soccer fans cheering in the streets, and security forces closing in, the crew have just minutes to pull off the score of a lifetime.",2021,"Action, Thriller, Crime",6.6,1h 58m
Crisis,"Three stories about the world of opioids collide: a drug trafficker arranges a multi-cartel Fentanyl smuggling operation between Canada and the U.S., an architect recovering from an OxyContin addiction tracks down the truth behind her son's involvement with narcotics, and a university professor battles unexpected revelations about his research employer, a drug company with deep government influence bringing a new ""non-addictive"" painkiller to market.",2021,"Drama, Crime, Thriller",6.6,1h 58m
Cosmic Sin,"Bruce Willis and Frank Grillo star in the new epic sci-fi adventure set in the year 2524, four hundred years after humans started colonizing the outer planets. Retired Military General James Ford (Willis) is called back into service after soldiers on a remote planet are attacked by a hostile alien fleet. The threat against the human race escalates into an inevitable interstellar war. General Ford teams up with General Eron Ryle (Grillo) and a team of elite soldiers in a race to stop the imminent attack before it is too late.",2021,"Science Fiction, Action",5.6,1h 33m
The Courier,Cold War spy Greville Wynne and his Russian source try to put an end to the Cuban Missile Crisis.,2021,"Drama, Thriller",7.2,1h 52m
Shoplifters of the World,"Denver, summer 1987. One crazy night in the life of four friends reeling from the sudden demise of iconic British band The Smiths, while the local airwaves are hijacked by an impassioned Smiths fan with a gun.",2021,Comedy,N/A,1h 31m
Senior Moment,"After drag racing his vintage convertible around Palm Springs, a retired NASA test pilot (William Shatner) loses his license. Forced to take public transportation, he meets Caroline (Jean Smart) and learns to navigate love and life again.",2021,"Comedy, Romance",N/A,1h 32m
